commande_id;client_id;date_commande;heure_commande;statut;mode_paiement;transporteur;montant_ht;tva;frais_port;montant_ttc;code_promo
CMD000001;CLI00377;2023-05-22;14:50;Livrée;Virement;UPS;302.1;60.42;0;362.52;
CMD000002;CLI00083;2024-02-03;14:05;Livrée;Carte bancaire;Mondial Relay;232.2;46.44;0;278.64;
CMD000003;CLI00190;2023-03-23;08:12;Livrée;Klarna;Mondial Relay;310.65;62.13;0;372.78;
CMD000004;CLI00018;2024-09-05;18:25;Retournée;Apple Pay;UPS;371.65;74.33;0;445.98;
CMD000005;CLI00266;2023-01-16;21:35;Livrée;Klarna;Mondial Relay;117.3;23.46;0;140.76;SOLDES20
CMD000006;CLI00494;2023-10-11;09:51;Livrée;Klarna;Mondial Relay;2802.4;560.48;0;3362.88;BIENVENUE10
CMD000007;CLI00356;2024-03-29;18:50;Expédiée;PayPal;Chronopost;642.9;128.58;0;771.48;SOLDES20
CMD000008;CLI00212;2023-12-28;13:13;Retournée;Klarna;Mondial Relay;1877.5;375.5;0;2253.0;
CMD000009;CLI00485;2023-07-14;11:53;Annulée;PayPal;UPS;124.0;24.8;0;148.8;SOLDES20
CMD000010;CLI00080;2023-04-20;17:00;Livrée;Klarna;Colissimo;82.65;16.53;0;99.18;FLASH25
CMD000011;CLI00191;2024-09-27;20:27;En cours;Apple Pay;UPS;724.5;144.9;0;869.4;
CMD000012;CLI00258;2023-12-22;19:00;Expédiée;Carte bancaire;Chronopost;143.3;28.66;0;171.96;FIDELITE15
CMD000013;CLI00298;2023-04-14;13:23;En cours;PayPal;DPD;139.0;27.8;0;166.8;FIDELITE15
CMD000014;CLI00108;2024-03-05;21:06;En cours;Virement;Chronopost;943.2;188.64;0;1131.84;FIDELITE15
CMD000015;CLI00439;2024-01-26;15:08;Livrée;Klarna;UPS;381.55;76.31;0;457.86;SOLDES20
CMD000016;CLI00403;2024-05-13;21:16;Livrée;Apple Pay;Colissimo;1874.0;374.8;0;2248.8;FLASH25
CMD000017;CLI00382;2023-12-09;17:12;Livrée;Klarna;UPS;534.3;106.86;0;641.16;
CMD000018;CLI00400;2023-10-19;15:40;En cours;PayPal;Chronopost;376.2;75.24;0;451.44;SOLDES20
CMD000019;CLI00216;2024-10-08;11:20;Expédiée;Virement;Mondial Relay;699.0;139.8;0;838.8;BIENVENUE10
CMD000020;CLI00310;2024-10-22;10:54;Expédiée;Carte bancaire;Chronopost;1249.45;249.89;0;1499.34;
CMD000021;CLI00339;2023-09-15;16:03;Livrée;Carte bancaire;DPD;505.55;101.11;0;606.66;
CMD000022;CLI00054;2023-09-26;11:47;Livrée;Virement;DPD;50.0;10.0;4.99;64.99;
CMD000023;CLI00068;2024-06-23;21:58;Livrée;Virement;DPD;3897.0;779.4;0;4676.4;FLASH25
CMD000024;CLI00500;2024-07-07;18:34;Livrée;Virement;Mondial Relay;2369.65;473.93;0;2843.58;FLASH25
CMD000025;CLI00277;2023-08-21;15:34;Livrée;Carte bancaire;DPD;2303.0;460.6;0;2763.6;FLASH25
