ligne_id;commande_id;produit_id;quantite;prix_unitaire;remise_pourcent;montant_ligne
LIG000001;CMD000001;PRD00058;1;249;0.0;249.0
LIG000002;CMD000001;PRD00090;1;59;10.0;53.1
LIG000003;CMD000002;PRD00019;2;129;10.0;232.2
LIG000004;CMD000003;PRD00052;2;89;15.0;151.3
LIG000005;CMD000003;PRD00079;3;15;0.0;45.0
LIG000006;CMD000003;PRD00084;1;25;15.0;21.25
LIG000007;CMD000003;PRD00067;2;49;5.0;93.1
LIG000008;CMD000004;PRD00090;1;59;0.0;59.0
LIG000009;CMD000004;PRD00030;1;189;15.0;160.65
LIG000010;CMD000004;PRD00079;1;15;0.0;15.0
LIG000011;CMD000004;PRD00022;1;79;0.0;79.0
LIG000012;CMD000004;PRD00087;2;29;0.0;58.0
LIG000013;CMD000005;PRD00071;2;69;15.0;117.3
LIG000014;CMD000006;PRD00025;2;69;0.0;138.0
LIG000015;CMD000006;PRD00059;2;39;10.0;70.2
LIG000016;CMD000006;PRD00052;1;89;10.0;80.1
LIG000017;CMD000006;PRD00074;1;129;10.0;116.1
LIG000018;CMD000006;PRD00001;2;1199;0.0;2398.0
LIG000019;CMD000007;PRD00062;2;59;15.0;100.3
LIG000020;CMD000007;PRD00099;2;25;10.0;45.0
LIG000021;CMD000007;PRD00032;1;59;5.0;56.05
LIG000022;CMD000007;PRD00097;1;15;0.0;15.0
LIG000023;CMD000007;PRD00044;1;449;5.0;426.55
LIG000024;CMD000008;PRD00002;1;899;5.0;854.05
LIG000025;CMD000008;PRD00090;3;59;15.0;150.45
LIG000026;CMD000008;PRD00034;2;49;0.0;98.0
LIG000027;CMD000008;PRD00032;3;59;0.0;177.0
LIG000028;CMD000008;PRD00037;2;299;0.0;598.0
LIG000029;CMD000009;PRD00031;1;99;0.0;99.0
LIG000030;CMD000009;PRD00095;1;25;0.0;25.0
LIG000031;CMD000010;PRD00087;3;29;5.0;82.65
LIG000032;CMD000011;PRD00074;3;129;0.0;387.0
LIG000033;CMD000011;PRD00036;2;129;0.0;258.0
LIG000034;CMD000011;PRD00063;3;19;0.0;57.0
LIG000035;CMD000011;PRD00024;1;25;10.0;22.5
LIG000036;CMD000012;PRD00059;3;39;10.0;105.3
LIG000037;CMD000012;PRD00016;2;19;0.0;38.0
LIG000038;CMD000013;PRD00079;3;15;0.0;45.0
LIG000039;CMD000013;PRD00034;1;49;0.0;49.0
LIG000040;CMD000013;PRD00024;2;25;10.0;45.0
LIG000041;CMD000014;PRD00052;1;89;10.0;80.1
LIG000042;CMD000014;PRD00036;1;129;10.0;116.1
LIG000043;CMD000014;PRD00058;3;249;0.0;747.0
LIG000044;CMD000015;PRD00095;2;25;0.0;50.0
LIG000045;CMD000015;PRD00020;1;349;5.0;331.55
LIG000046;CMD000016;PRD00072;2;39;0.0;78.0
LIG000047;CMD000016;PRD00073;3;199;0.0;597.0
LIG000048;CMD000016;PRD00007;1;1199;0.0;1199.0
LIG000049;CMD000017;PRD00047;2;59;0.0;118.0
LIG000050;CMD000017;PRD00072;2;39;0.0;78.0
LIG000051;CMD000017;PRD00033;2;199;15.0;338.3
LIG000052;CMD000018;PRD00087;3;29;5.0;82.65
LIG000053;CMD000018;PRD00066;1;249;5.0;236.55
LIG000054;CMD000018;PRD00063;3;19;0.0;57.0
LIG000055;CMD000019;PRD00011;1;699;0.0;699.0
LIG000056;CMD000020;PRD00057;3;399;10.0;1077.3
LIG000057;CMD000020;PRD00100;3;19;5.0;54.15
LIG000058;CMD000020;PRD00047;2;59;0.0;118.0
LIG000059;CMD000021;PRD00022;1;79;0.0;79.0
LIG000060;CMD000021;PRD00051;1;449;5.0;426.55
LIG000061;CMD000022;PRD00084;2;25;0.0;50.0
LIG000062;CMD000023;PRD00005;3;1299;0.0;3897.0
LIG000063;CMD000024;PRD00057;3;399;10.0;1077.3
LIG000064;CMD000024;PRD00018;2;329;15.0;559.3
LIG000065;CMD000024;PRD00090;3;59;15.0;150.45
